Predicted,Original
1.7646611,2.3987186
2.2758727,2.3797536
2.7166152,2.2909174
2.9926574,2.0160558
3.0988462,2.027225
3.4176514,1.8132598
3.2867832,1.9964458
3.4713755,1.6193439
3.372064,1.3174669
3.4174206,1.3980582
3.9507442,1.2873793
4.2009807,1.5404589
4.16446,1.5589042
3.987431,1.5152912
3.8257756,1.2151234
3.7587419,0.8753704
4.1919565,1.230757
4.7540436,1.3420473
5.155412,1.2565846
5.084482,1.2768294
4.8589683,1.414032
5.293246,1.7392395
5.4978666,1.5082284
5.6973796,1.220449
5.307153,1.315184
5.397363,1.3501519
5.436486,1.3995073
5.5935187,1.4310017
5.512909,1.9485843
5.616756,2.2176282
5.8900003,2.3351657
6.156568,2.7666733
6.2384105,2.6983654
6.256412,2.745631
6.3031816,2.9728527
6.558629,3.204638
6.7463827,4.021407
7.122176,4.294219
6.9736176,5.022595
7.2986383,5.159638
7.4501023,5.5060244
7.9696136,5.726146
7.8056602,5.943976
7.780411,6.156364
7.972742,6.0237637
8.226,6.500882
8.28361,7.0179133
8.210919,7.2077565
8.399149,7.788333
8.3288965,8.140074
8.443274,8.529175
8.361997,8.814068
8.6278715,9.26628
9.0503235,9.311751
9.599875,9.706597
9.303239,10.102866
9.328993,10.182267
9.4809675,10.465129
9.307039,10.707799
9.526591,10.780784
9.289253,11.280495
9.520649,11.312664
9.907492,11.599319
9.959893,11.663538
9.889686,11.934381
10.647975,12.217071
10.820434,12.504012
10.918744,12.730435
10.883305,13.07119
11.155927,13.243892
11.24784,13.639062
11.690846,13.892142
11.617916,13.635134
11.673083,13.406835
11.548224,14.155305
12.0089245,14.096802
11.910725,14.720317
12.245543,15.108412
12.204842,15.338074
12.608262,15.658083
12.8109865,16.074356
12.975959,16.487766
13.1845045,16.857718
13.498752,16.873987
13.420405,17.314243
13.431154,17.39212
13.474531,17.627468
13.573736,17.922754
13.547121,18.294289
13.606643,18.788124
13.901184,18.637606
14.003508,18.8457
14.103315,19.003685
13.936747,19.340256
14.432692,19.565802
14.444203,19.794365
14.67663,19.872168
14.773749,19.91121
15.056816,20.270075
14.997286,20.428825
15.076231,20.472847
14.873536,20.651436
15.325774,21.245916
15.512755,21.213484
15.781037,21.356997
16.206709,21.607899
16.395916,21.718317
16.54843,21.87809
16.546503,22.417986
16.593868,22.652466
17.103104,22.767477
17.00311,22.665018
17.254318,23.000786
17.61025,23.032625
17.71138,22.86811
17.661583,23.09284
17.751564,23.360785
17.895145,23.23737
17.852802,23.316654
18.29454,23.955996
18.421938,24.06861
18.479908,24.211084
18.750517,24.267004
18.603434,24.663994
19.309793,24.649492
19.396147,24.89493
19.51264,25.125507
19.42473,25.435324
19.710413,25.436583
19.787855,25.515913
19.623878,25.693457
20.046305,25.765318
20.34268,25.90467
20.322037,26.036444
20.368849,26.177649
20.49261,26.376307
20.844515,26.41909
20.993586,26.591452
21.123148,27.03506
21.344957,27.366718
21.305191,27.780045
21.464878,28.027332
21.617744,27.983217
21.702734,28.137512
21.776667,27.937038
21.895416,28.142124
22.174036,28.537327
22.589312,28.286549
22.590984,28.335224
22.141146,28.366081
22.731081,28.384695
22.518484,28.261915
22.568302,28.194138
22.829327,28.042078
22.462645,28.108086
22.56691,27.92608
22.7864,27.925951
22.896038,27.864445
22.950537,27.784763
23.180199,28.235037
22.969078,28.214678
23.007912,28.066582
23.099636,28.131302
23.03727,28.156628
22.935905,28.106926
23.15514,27.775291
23.1635,27.906105
23.02585,27.81514
23.00322,27.642664
23.131193,27.56804
23.157951,27.418491
23.176264,27.394903
23.21225,27.258396
23.329824,27.39547
23.117142,27.401762
23.254099,27.234203
23.260233,27.187634
23.157782,27.047907
